@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
101,'2026/05/31 15:54:41:554',1,0.142502,0.55868,0.973868,0,0.5,1
102,'2026/05/31 15:54:41:589',1,0.142735,0.559004,0.965715,0,0.5,1
103,'2026/05/31 15:54:41:623',1,0.142331,0.558702,0.96991,0,0.5,1
104,'2026/05/31 15:54:41:657',1,0.141968,0.557933,0.973753,0,0.5,1
105,'2026/05/31 15:54:41:688',1,0.14148,0.556326,0.974088,0,0.5,1
106,'2026/05/31 15:54:41:723',1,0.141803,0.554887,0.968131,0,0.5,1
107,'2026/05/31 15:54:41:755',1,0.142118,0.553621,0.969666,0,0.5,1
108,'2026/05/31 15:54:41:790',1,0.142035,0.552639,0.963016,0,0.5,1
109,'2026/05/31 15:54:41:823',1,0.141938,0.55164,0.969045,0,0.5,1
110,'2026/05/31 15:54:41:856',1,0.141627,0.550515,0.979534,0,0.5,1
111,'2026/05/31 15:54:41:890',1,0.141713,0.549846,0.984491,0,0.5,1
112,'2026/05/31 15:54:41:923',1,0.141614,0.549363,0.985624,0,0.5,1
113,'2026/05/31 15:54:41:957',1,0.141847,0.548502,0.98586,0,0.5,1
114,'2026/05/31 15:54:41:988',1,0.141678,0.547779,0.983665,0,0.5,1
115,'2026/05/31 15:54:42:023',1,0.14121,0.547982,0.971965,0,0.5,1
116,'2026/05/31 15:54:42:053',1,0.140553,0.547252,0.963871,0,0.5,1
117,'2026/05/31 15:54:42:087',1,0.140329,0.546508,0.961781,0,0.5,1
118,'2026/05/31 15:54:42:125',1,0.139587,0.545986,0.964448,0,0.5,1
119,'2026/05/31 15:54:42:155',1,0.139056,0.545922,0.965359,0,0.5,1
120,'2026/05/31 15:54:42:191',1,0.138808,0.545332,0.975966,0,0.5,1
121,'2026/05/31 15:54:42:223',1,0.138169,0.545026,0.977807,0,0.5,1
122,'2026/05/31 15:54:42:256',1,0.137718,0.544933,0.984386,0,0.5,1
123,'2026/05/31 15:54:42:286',1,0.137585,0.544693,0.986757,0,0.5,1
124,'2026/05/31 15:54:42:325',1,0.136842,0.545196,0.978065,0,0.5,1
125,'2026/05/31 15:54:42:356',1,0.136496,0.544965,0.984006,0,0.5,1
126,'2026/05/31 15:54:42:390',1,0.135765,0.545056,0.974805,0,0.5,1
127,'2026/05/31 15:54:42:424',1,0.13527,0.545129,0.97389,0,0.5,1
128,'2026/05/31 15:54:42:456',1,0.135292,0.544534,0.97489,0,0.5,1
129,'2026/05/31 15:54:42:489',1,0.135074,0.544592,0.975337,0,0.5,1
130,'2026/05/31 15:54:42:523',1,0.134747,0.54485,0.971129,0,0.5,1
131,'2026/05/31 15:54:42:557',1,0.135015,0.544646,0.970171,0,0.5,1
132,'2026/05/31 15:54:42:591',1,0.134627,0.545179,0.963295,0,0.5,1
